course_code,course_name,AU
AB0301,LEGAL & ETHICAL ISSUES IN SUSTAINABILITY~#,3.0
AB0403,DECISION MAKING WITH PROGRAMMING & ANALYTICS*~#,3.0
AB0602,COMMUNICATION MANAGEMENT STRATEGIES,4.0
AB0603,SOCIAL ENTREPRENEURSHIP~#,3.0
AB1201,FINANCIAL MANAGEMENT*~,3.0
AB1301,BUSINESS LAW*~#,3.0
AB1501,MARKETING*~,3.0
AB1601,ORGANISATIONAL BEHAVIOUR & DESIGN*~,3.0
AB2008,CAREERS FUTURE FORWARD,1.0
AB3601,STRATEGIC MANAGEMENT,4.0
AB3602,STRATEGIC MANAGEMENT,3.0
AB5101,BUSINESS VALUATION: FROM THEORY TO PRACTICE*~,3.0
AB5102,FORENSIC ACCOUNTING & FRAUD INVESTIGATION*~,3.0
AB5601,NEGOTIATE TO GET WHAT YOU WANT: STRATEGY & PRACTICE*,4.0
AC1103,ACCOUNTING I,4.0
AC1104,ACCOUNTING II,4.0
AC2101,ACCOUNTING RECOGNITION & MEASUREMENT,4.0
AC2105,ACCOUNTING FOR DECISION MAKING & CONTROL,4.0
AC2301,PRINCIPLES OF TAXATION*~,4.0
AC2401,ACCOUNTING INFORMATION SYSTEMS,4.0
AC3102,RISK REPORTING & ANALYSIS,4.0
AC3103,ACCOUNTING ANALYSIS & VALUATION,4.0
AC3104,ENTERPRISE RISK MANAGEMENT & SUSTAINABILITY~,4.0
AC3105,SUSTAINABILITY REPORTING~,3.0
AD1101,FINANCIAL ACCOUNTING*,4.0
AD1102,FINANCIAL ACCOUNTING~,3.0
AD2101,MANAGEMENT ACCOUNTING*,4.0
AD2102,MANAGERIAL ACCOUNTING~,3.0
AL1301,BUSINESS ETHICS,3.0
BA2202,MATHEMATICS OF FINANCE*~,4.0
BA3201,LIFE CONTINGENCIES & DEMOGRAPHY*~,4.0
BC2402,DESIGNING & DEVELOPING DATABASES*~,4.0
BC2406,ANALYTICS I: VISUAL & PREDICTIVE TECHNIQUES*~,4.0
BC3409,AI IN ACCOUNTING & FINANCE*,4.0
BC3415,AI IN ACCOUNTING & FINANCE~,3.0
BE1401,BUSINESS OPERATIONS & PROCESS*#,4.0
BE1402,BUSINESS OPERATIONS & PROCESS~,3.0
BE2501,INTERNATIONAL BUSINESS ENVIRONMENT*,4.0
BE2601,"MANAGEMENT PRINCIPLES, SKILLS & COMPETENCIES*",4.0
BE2602,"MANAGEMENT PRINCIPLES, SKILLS & COMPETENCIES~",3.0
BF2100,ETHICS IN THE INVESTMENT PROFESSION,1.0
BF2201,INVESTMENTS*,4.0
BF2206,WEALTH MANAGEMENT*,4.0
BF2209,DERIVATIVE SECURITIES*,4.0
BF2214,FINTECH IN INVESTMENT MANAGEMENT*,4.0
BF2216,TRADE INCOTERMS & SHIP CHARTERING*,4.0
BF2218,COMMODITY MARKETS*,4.0
BF2219,INVESTMENTS~,3.0
BF2220,WEALTH MANAGEMENT~,3.0
BF2221,DERIVATIVE SECURITIES & HEDGING STRATEGIES~,3.0
BF2223,FINTECH IN INVESTMENT MANAGEMENT~,3.0
BF2225,RELATIONSHIP MANAGEMENT~,3.0
BF2226,TRADE INCOTERMS & SHIP CHARTERING~,3.0
BF2227,COMMODITY MARKETS~,3.0
BF2229,GLOBAL FINANCIAL MARKETS & INSTITUTIONS~,3.0
BF3122,CARBON MARKETS & PRICING FUNDAMENTALS~,3.0
BF3202,FIXED INCOME SECURITIES*,4.0
BF3203,EQUITY SECURITIES*,4.0
BF3207,ALTERNATIVE INVESTMENTS*,4.0
BF3212,"TRADE, STRUCTURED & SUPPLY CHAIN FINANCE*~",2.0
BF3213,ENTERPRISE RISK MANAGEMENT IN COMMODITY MARKETS*~,2.0
BF3214,COMMODITIES TRADING*~,2.0
BF3216,FIXED INCOME SECURITIES~,3.0
BF3219,ALTERNATIVE INVESTMENTS~,3.0
BF3226,STRATEGIC MANAGEMENT IN COMMODITY MARKET~,2.0
BG1141,CELLULAR & MOLECULAR BIOLOGY FOR BIOENGINEERS,3.0
BG1801,BIOENGINEERING LAB 1A,1.0
BG2119,ANATOMY & PHYSIOLOGY*~,3.0
BG2131,BIOMATERIALS,3.0
BG2142,BIOLOGICAL THERMODYNAMICS,3.0
BG2211,INTRODUCTION TO COMPUTATIONAL THINKING,3.0
BG3102,CONTROL IN BIOSYSTEMS,3.0
BG3104,BIOMEDICAL IMAGING,3.0
BG3105,BIOMEDICAL INSTRUMENTATION~,3.0
BG3112,CARDIOVASCULAR ENGINEERING,3.0
BG4103,BIOMEDICAL PROJECT DESIGN &  MANAGEMENT,4.0
BG4104,MACHINE LEARNING & OPTIMISATION FOR BIOENGINEERS*~,3.0
BG4122,MEDICAL DEVICE DESIGN,6.0
BG4211,CNYSP OVERSEAS FINAL YEAR PROJECT,8.0
BG4215,BIOMEDICAL NANOTECHNOLOGY*~,3.0
BG4231,ADVANCED BIOMATERIALS*~,3.0
BG4341,FUNDAMENTALS OF INTELLECTUAL PROPERTY IN BIOMEDICAL ENGINEER*~,3.0
BH2601,STRATEGIC HR MANAGEMENT & CONSULTING*,4.0
BH2605,STRATEGIC HUMAN RESOURCE MANAGEMENT & CONSULTING~,3.0
BH3601,TALENT DEVELOPMENT & MANAGEMENT*,4.0
BH3604,MANAGING ORGANIZATIONAL CHANGE*,4.0
BH3605,TALENT DEVELOPMENT & MANAGEMENT,3.0
BM2501,MARKET BEHAVIOUR*,4.0
BM2502,MARKETING INTELLIGENCE: AI & DATA-DRIVEN INSIGHTS*,4.0
BM2504,INTEGRATED MARKETING COMMUNICATIONS*,4.0
BM2506,DIGITAL MARKETING:CONNECTING WITH CUSTOMERS IN TODAY'S WORLD*,4.0
BM2507,MARKETING ANALYTICS*,4.0
BM2510,MARKETING INTELLIGENCE: AI & DATA-DRIVEN INSIGHTS~,3.0
BM2512,INTEGRATED MARKETING COMMUNICATIONS~,3.0
BM2514,DIGITAL MARKETING~,3.0
BM2515,MARKETING ANALYTICS~,3.0
BM2518,TECH-POWERED MARKETING STRATEGIES FOR FMCG BRANDS~,3.0
BM3506,STRATEGIC BRAND MANAGEMENT*,4.0
BM3509,STRATEGIC BRAND MANAGEMENT~,3.0
BR2208,FOUNDATION OF RISK MANAGEMENT*~,3.0
BR3208,OPERATIONAL RISK MANAGEMENT*,4.0
BR3211,OPERATIONAL RISK & RESILIENCY*~,3.0
BS0004,INTRODUCTION TO DATA SCIENCE,3.0
BS1001,INTRODUCTORY BIOLOGY*~#,3.0
BS1008,BIOSTATISTICS*~,3.0
BS1012,FOUNDATIONS OF CHEMISTRY I,3.0
BS1016,PHYSIOLOGY*~,3.0
BS1022,LABORATORY FOR FOUNDATIONS OF CHEMISTRY I*~,1.0
BS1103,CHINESE MEDICINE FOUNDATIONAL THEORIES,3.0
BS1104,ANCIENT CHINESE LITERATURE STUDIES,2.0
BS2002,MICROBIOLOGY*~,3.0
BS2003,BIOCHEMISTRY II,3.0
BS2023,REGULATORY CONTROL OF HEALTHCARE PRODUCTS & MEDICAL DEVICES~,3.0
BS2024,EVOLUTION IN HEALTH & DISEASE*~,3.0
BS2028,INSTRUMENTATION FOR THE ANALYSIS OF BIOLOGICAL SYSTEMS,3.0
BS2029,INTRODUCTION TO LABORATORY MEDICINE~,3.0
BS2100,MOLECULAR & CELL BIOLOGY TECHNIQUES LEVEL 2~,3.0
BS2101,ANATOMY,3.0
BS2108,CLINICAL ACUPUNCTURE,3.0
BS2109,CM CLASSIC EMPEROR?S CANON OF INTERNAL MEDICINE,2.0
BS2110,MATERIAL MEDICA OF CHINESE MEDICINE,3.0
BS2111,CM CLINICAL TRAINING 2,1.0
BS3003,DEVELOPMENTAL BIOLOGY~,3.0
BS3004,CANCER BIOLOGY & THERAPY~,3.0
BS3014,BIOLOGICAL FOUNDATIONS OF BEHAVIOR,3.0
BS3018,PLANT BIOLOGY*~,3.0
BS3021,BIOIMAGING TECHNIQUES IN EM*~,3.0
BS3022,PROTEIN TRAFFICKING~,3.0
BS3027,LIGHT & BIOMOLECULE BEHAVIOR IN HEALTH & DISEASE*~,3.0
BS3038,INTELLECTUAL PROPERTY RIGHTS RELATED TO BIOBUSINESS~,3.0
BS3101,TREATISE ON EXOGENOUS FEBRILE DISEASES,6.0
BS3103,TCM INTERNSHIP II,3.0
BS3108,ACUPUNCTURE & MOXIBUSTION,6.0
BS3201,INTELLECTUAL PROPERTY RIGHTS REL TO BIOBUSINESS & THEIR APPN,5.0
BS3202,COMMERCIALIZATION OF MOLECULAR & CELL BIOLOGY TECHNIQUES~,3.0
BS3338,UAEB II - EFFECT OF ANTI-MITOTIC DRUGS ON CANCER CELLS~,3.0
BS3344,UAEB II - MACROMOLECULAR CRYSTALLOGRAPHY*~,3.0
BS4010,SYNTHETIC BIOLOGY~,3.0
BS4014,MOLECULAR BASIS OF DISEASES*~,3.0
BS4015,PLANT BIOTECHNOLOGY*~,3.0
BS4017,HIGH-THROUGHPUT BIOINFORMATICS~,3.0
BS5804,TRADITIONAL CHINESE MEDICINE: A PRIMER COURSE*~#,3.0
BT2403,SERVICES OPERATIONS MANAGEMENT*,4.0
BT2404,SERVICES OPERATIONS MANAGEMENT~,3.0
BU5101,ACCOUNTING: A USER PERSPECTIVE*~#,3.0
